Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
475,17,0,17,3.960853,压低/v
476,17,11,6,3.960853,门前/s
477,18,11,7,3.944798,空中/s
478,17,7,10,3.942825,高大/a
479,21,16,5,3.939162,天/q
480,19,15,4,3.938262,总是/c
481,17,2,15,3.936815,发疯/v
482,18,13,5,3.933118,病/n
483,18,17,1,3.933118,因/p
484,19,12,7,3.932577,间/f
485,20,7,13,3.929181,回/v
486,19,14,5,3.926893,回家/n
487,19,17,2,3.915524,远/a
488,22,11,11,3.913885,也许/d
489,16,2,14,3.913280,发病/v
490,19,8,11,3.909840,感情/n
491,19,13,6,3.904156,来说/u
492,18,10,8,3.898078,回去/v
493,16,1,15,3.894697,刮起/v
494,20,13,7,3.890398,妈妈/n
495,17,3,14,3.864703,上来/t
496,17,5,12,3.864703,苍白/z
497,20,6,14,3.851616,开/v
498,16,15,1,3.851337,时分/n
499,23,13,10,3.850378,坐在/v
500,17,13,4,3.840666,森林/n
501,20,15,5,3.840535,’/x
502,22,16,6,3.839929,那里/r
503,16,6,10,3.838948,袭击/v
504,18,6,12,3.833837,不安/a
505,17,11,6,3.828647,下午/t
506,17,6,11,3.828647,改变/v
507,19,9,10,3.824576,高兴/b
508,18,9,9,3.822157,对于/p
509,25,22,3,3.820604,当/p
510,16,16,0,3.820365,不料/n
511,19,11,8,3.818892,哪里/r
512,19,12,7,3.818892,喝/vg
513,17,14,3,3.810619,空气/n
514,18,16,2,3.810477,路/n
515,18,10,8,3.804637,意识/n
516,17,8,9,3.804609,下面/f
517,18,4,14,3.792957,成/v
518,18,13,5,3.787117,微笑/vn
519,16,1,15,3.783199,大叫/v
520,17,4,13,3.780572,陌生/n
521,17,10,7,3.780572,只见/v
522,17,16,1,3.780572,此时/c
523,16,14,2,3.770811,象/v
524,17,8,9,3.768553,对方/n
525,19,12,7,3.767733,那儿/r
526,18,9,9,3.763757,别人/r
527,18,13,5,3.757916,要是/c
528,18,8,10,3.757916,并且/c
529,16,10,6,3.752228,永久/d
530,16,11,5,3.739839,沉思/a
531,15,1,14,3.732239,袭/v
532,18,5,13,3.728716,需要/v
533,18,4,14,3.728716,虽然/c
534,17,9,8,3.726488,那位/r
535,17,9,8,3.720478,怕/v
536,15,6,9,3.713047,脑海/n
537,15,3,12,3.713047,刺耳/n
538,16,12,4,3.708867,船/n
539,16,12,4,3.708867,屋里/s
540,16,10,6,3.696479,内心/n
541,16,10,6,3.696479,家伙/n
542,15,3,12,3.693855,骚动/v
543,16,8,8,3.690285,爱情/n
544,15,1,14,3.687457,两手/m
545,15,9,6,3.687457,歌声/n
546,17,6,11,3.684422,如/v
547,17,5,12,3.684422,声/q
548,15,0,15,3.681060,清晰/a
549,15,9,6,3.681060,新月/t
550,16,7,9,3.671702,一座/m
551,15,4,11,3.668265,门外/s
552,16,13,3,3.653119,马车/n
553,16,13,3,3.646924,路上/s
554,16,2,14,3.646924,吓了一跳/v
555,17,6,11,3.642357,同时/c
556,16,7,9,3.640730,思想/n
557,16,12,4,3.640730,老人/n
558,24,13,11,3.639629,谁/r
559,17,10,7,3.636347,德/ns
560,15,13,2,3.629880,某/r
