rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
6957,圈子里/n,1,2,0,1,4.3348
6958,贝壳/nr,1,2,1,0,4.3348
6959,盖尔/nrt,1,2,1,0,4.3348
6960,驻足/v,1,2,0,1,4.3348
6961,神往/v,1,2,1,0,4.3348
6962,斯苔拉/nr,1,2,0,1,4.3348
6963,猫眼/n,1,2,1,0,4.3348
6964,劈手/d,1,2,0,1,4.3348
6965,扭过头来/l,1,2,0,1,4.3348
6966,卡迪菲/nr,1,2,0,1,4.3348
6967,哈哈笑/nr,1,2,0,1,4.3348
6968,嗓子眼儿/n,1,2,1,0,4.3348
6969,满目/n,1,2,1,0,4.3348
6970,晕厥/v,1,2,1,0,4.3348
6971,愣愣/v,1,2,1,0,4.3348
6972,心惊胆战/i,1,2,1,0,4.3348
6973,马利亚/ns,1,2,1,0,4.3348
6974,觉到/v,1,2,0,1,4.3348
6975,水潭/n,1,2,1,0,4.3348
6976,哭诉/v,1,2,1,0,4.3348
6977,胡闹/nr,1,2,1,0,4.3348
6978,挤到/v,1,2,1,0,4.3348
6979,清冷/a,1,2,1,0,4.3348
6980,曼陀丽/ns,1,2,0,1,4.3348
6981,一而再/i,1,2,1,0,4.3348
6982,开进/v,1,2,1,0,4.3348
6983,背包/n,1,2,0,1,4.3348
6984,惧怕/v,1,2,1,0,4.3348
6985,残骸/n,1,2,1,0,4.3348
6986,在手/v,1,2,1,0,4.3348
6987,海绵/n,1,2,1,0,4.3348
6988,腾空而起/i,1,2,0,1,4.3348
6989,多吉/nrt,1,2,1,0,4.3348
6990,轻灵/a,1,2,0,1,4.3348
6991,骨骼/n,1,2,0,1,4.3348
6992,厂/zg,1,2,1,0,4.3348
6993,柯蒂斯/nr,1,2,0,1,4.3348
6994,付给/v,1,2,0,1,4.3348
6995,心碎/v,1,2,0,1,4.3348
6996,陈腐/nr,1,2,1,0,4.3348
6997,90/m,1,2,0,1,4.3348
6998,诺兰/nrt,1,2,1,0,4.3348
6999,赖特/nr,1,2,1,0,4.3348
7000,二十六岁/m,1,2,1,0,4.3348
7001,善意/v,1,2,0,1,4.3348
7002,颗粒/n,1,2,0,1,4.3348
7003,星宿/n,1,2,0,1,4.3348
7004,自愿/d,1,2,0,1,4.3348
7005,瓦尔瓦/nrt,1,2,1,0,4.3348
7006,帕夫洛/nr,1,2,1,0,4.3348
7007,麻花/n,1,2,0,1,4.3348
7008,省悟/n,1,2,1,0,4.3348
