rank_mi,rank_t,freq,Freq(L),mi,t,collocate
5560,739,11,11,4.8296,3.199984,家玉/nr
13219,533,18,11,3.1825,3.775333,您/zg
6247,162,52,11,4.5628,6.905986,主意/n
11278,737,12,11,3.7457,3.205854,睡觉/v
11318,349,26,11,3.6955,4.705454,丈夫/n
11391,389,23,11,3.6649,4.417717,目光/n
11961,702,13,11,3.4559,3.276965,客厅/n
12031,451,21,11,3.3874,4.144656,黑暗/z
11923,148,65,11,3.4736,7.336512,将/d
11981,574,16,11,3.4394,3.631281,年/m
11397,332,28,11,3.6539,4.87113,像是/v
8980,775,11,11,4.1857,3.134374,缘故/n
8979,774,11,11,4.1857,3.134374,透/v
12038,778,12,11,3.3701,3.129077,梅/nr
11494,643,14,11,3.6229,3.437947,这话/r
13330,541,18,11,3.0971,3.746838,怕/v
13929,396,25,11,3.014,4.381036,家里/s
13926,209,49,11,3.0191,6.13649,问/v
11303,740,12,10,3.7072,3.198874,如今/t
13213,464,21,10,3.1926,4.081343,信/n
13218,880,11,10,3.1857,2.952123,嘴里/s
6101,747,11,10,4.6597,3.185404,迪子/nr
6074,824,10,10,4.6921,3.039944,胡思乱想/i
9559,718,12,10,4.0009,3.247732,走近/v
9566,870,10,10,3.9916,2.963486,多久/m
12036,550,17,10,3.3701,3.724347,风/n
11771,202,47,10,3.5497,6.270211,说道/v
6359,304,28,10,4.4496,5.049331,心头/s
8863,281,30,10,4.277,5.194708,门外/s
9867,676,13,10,3.8227,3.350729,思索/n
9727,618,14,10,3.9296,3.496104,动作/n
11831,384,24,10,3.5122,4.469602,桌子/n
12966,724,13,10,3.2892,3.236729,不久/a
9887,890,10,10,3.7852,2.932902,时刻/n
12967,285,33,10,3.2853,5.155317,如果/c
9198,229,38,10,4.0482,5.791801,外面/f
8887,402,21,10,4.2389,4.339873,夜里/t
9720,444,20,10,3.9372,4.180189,雨/n
9596,289,30,10,3.9733,5.128493,决定/v
9817,549,16,10,3.8783,3.727994,校长/n
11776,507,18,10,3.5401,3.877912,骂/v
6358,87,102,10,4.4501,9.637461,明白/nr
12900,497,19,10,3.3327,3.926242,马/n
12901,521,18,10,3.3306,3.820924,那位/r
6357,120,73,10,4.4514,8.153484,不见/v
13920,658,15,10,3.0291,3.39853,它们/r
13359,575,17,10,3.0653,3.630521,夫人/n
13237,420,23,10,3.1658,4.26143,回/v
13314,243,40,10,3.1071,5.590554,回来/v
11344,635,14,10,3.6856,3.450871,一时/d
13226,804,12,10,3.1737,3.08022,」/x
