Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
506,18,4,14,3.877912,一道/m
507,18,10,8,3.877912,骂/v
508,16,2,14,3.873064,叹口气/i
509,17,12,5,3.870949,老人/n
510,19,7,12,3.865227,男人/n
511,19,8,11,3.865227,要是/c
512,19,5,14,3.854133,一张/m
513,16,0,16,3.848886,急促/a
514,17,0,17,3.847493,喊道/v
515,18,6,12,3.838020,嘴/n
516,20,20,0,3.834177,罢/v
517,18,13,5,3.832321,竟/d
518,17,3,14,3.829901,放下/v
519,16,16,0,3.824707,半晌/m
520,23,6,17,3.822818,同/p
521,18,10,8,3.820924,那位/r
522,16,9,7,3.812618,心上/s
523,18,9,9,3.809526,间/f
524,19,10,9,3.804211,里面/f
525,17,4,13,3.800580,手指/n
526,18,12,6,3.798128,不到/v
527,18,12,6,3.798128,谈话/vn
528,17,14,3,3.788852,情况/n
529,16,7,9,3.788440,附近/f
530,17,2,15,3.777124,所有/b
531,17,5,12,3.777124,意外/a
532,16,1,15,3.776351,指着/v
533,18,11,7,3.775333,您/zg
534,19,8,11,3.770930,微笑/vn
535,17,12,5,3.765396,老太太/nr
536,16,2,14,3.764262,强烈/a
537,18,12,6,3.763935,远/a
538,17,16,1,3.753667,女士/n
539,17,8,9,3.753667,表情/n
540,15,0,15,3.748127,事来/t
541,18,11,7,3.746838,怕/v
542,16,12,4,3.746128,神/n
543,17,1,16,3.741939,成/v
544,15,0,15,3.741884,传出/v
545,15,0,15,3.741884,提高/v
546,15,1,14,3.735642,想道/v
547,15,1,14,3.735642,过头/n
548,17,8,9,3.730211,这位/rz
549,16,10,6,3.727994,校长/n
550,17,10,7,3.724347,风/n
551,17,9,8,3.724347,王/nr
552,26,6,20,3.723911,让/v
553,20,15,5,3.720642,一面/m
554,17,11,6,3.712619,二/m
555,16,9,7,3.709860,秀/ag
556,16,11,5,3.709860,故事/n
557,15,8,7,3.704428,素心/n
558,19,14,5,3.698820,她们/r
559,15,7,8,3.685699,欧阳/ns
560,17,3,14,3.683298,来到/v
561,16,14,2,3.679638,影子/n
562,15,7,8,3.679456,热/a
563,15,3,12,3.673213,外边/f
564,16,7,9,3.667548,妻子/n
565,15,7,8,3.666971,火车/n
566,17,6,11,3.659842,可怜/v
567,18,11,7,3.649957,往/p
568,19,15,4,3.648898,字/n
569,15,9,6,3.648242,猫/n
570,17,7,10,3.642250,水/n
571,15,5,10,3.641999,嚷/v
572,14,1,13,3.638267,尖叫/v
573,22,9,13,3.633676,不能/v
574,16,11,5,3.631281,年/m
575,17,10,7,3.630521,夫人/n
576,15,3,12,3.629514,难过/v
577,16,7,9,3.625236,外/f
578,20,6,14,3.623326,告诉/v
579,20,17,3,3.623326,小姐/nr
580,18,13,5,3.621463,高/a
581,17,12,5,3.612929,办法/n
582,17,12,5,3.607065,瞧/v
583,15,13,2,3.604543,天气/n
584,20,9,11,3.601701,当/p
585,17,9,8,3.601201,喜欢/v
586,16,12,4,3.601058,继续/v
587,16,12,4,3.601058,书/n
588,16,7,9,3.601058,狗/n
589,14,3,11,3.599495,哈哈大笑/l
590,18,11,7,3.598667,喝/vg
591,15,15,0,3.598300,之中/r
592,15,13,2,3.598300,左右/m
593,16,4,12,3.588969,扑/v
594,14,7,7,3.586571,话题/n
595,16,9,7,3.582924,嘴唇/n
596,16,9,7,3.576880,房子/n
597,15,6,9,3.573329,敲/v
598,18,14,4,3.570173,然而/c
599,14,0,14,3.560724,回过头来/l
600,16,7,9,3.558746,儿子/n
601,15,12,3,3.554600,情形/n
602,15,7,8,3.554600,如此/c
603,16,14,2,3.546657,月/m
604,14,4,10,3.541338,响声/n
605,14,12,2,3.541338,沉思/a
606,14,6,8,3.534876,楼下/s
607,14,8,6,3.534876,此刻/r
608,16,9,7,3.534568,世界/n
609,14,9,5,3.528414,注视/v
610,23,5,18,3.525368,跟/p
611,15,7,8,3.523386,院子/n
612,15,6,9,3.523386,感情/n
613,13,2,11,3.511669,雨来/t
614,14,7,7,3.509028,德/ns
615,15,9,6,3.504658,思想/n
616,15,5,10,3.504658,诗/n
617,14,5,9,3.496104,帽子/n
618,14,10,4,3.496104,动作/n
619,13,13,0,3.491552,怎的/r
620,14,4,10,3.489642,叫声/v
621,14,8,6,3.489642,人群/n
622,13,13,0,3.484846,正说/v
623,14,1,13,3.483181,把头/v
624,15,5,10,3.479686,微微/d
625,14,6,8,3.476719,变化/vn
626,14,3,11,3.470257,推开/v
627,14,2,12,3.470257,把手/v
628,15,9,6,3.467201,特别/d
629,13,5,8,3.464728,一首/m
630,16,12,4,3.462033,?/x
631,17,9,8,3.460463,注意/v
632,14,6,8,3.457333,楼梯/n
633,16,12,4,3.455988,妈妈/n
634,16,5,11,3.455988,那种/r
635,14,10,4,3.450871,一时/d
636,14,2,12,3.450871,受到/v
637,16,10,6,3.449944,爸爸/n
638,15,13,2,3.448472,因此/c
639,15,8,7,3.448472,唱/v
640,13,6,7,3.444611,脚下/f
641,13,1,12,3.444611,咳嗽/v
642,13,0,13,3.444611,惊恐/a
643,14,11,3,3.437947,这话/r
644,13,2,11,3.437905,命令/n
645,16,1,15,3.437855,以前/f
646,17,13,4,3.437006,生活/vn
647,15,2,13,3.435987,这件/mq
648,14,5,9,3.431485,一群/m
649,16,6,10,3.425766,可能/v
650,13,5,8,3.424493,恐惧/an
651,14,4,10,3.418561,鼻子/n
652,14,4,10,3.418561,双手/n
653,13,8,5,3.417787,愣/v
654,13,0,13,3.417787,打断/v
655,14,9,5,3.412099,直到/v
656,14,7,7,3.412099,椅子/n
657,13,6,7,3.411082,两眼/m
658,15,10,5,3.398530,它们/r
659,13,3,10,3.397670,冷笑/nr
